volume,code,psTTM,high,adjustflag,tradestatus,pbMRQ,preclose,pctChg,open,close,peTTM,isST,turn,pcfNcfTTM,low,date,amount,time
37373749,sh.600104,0.347429,24.5100,3,1,1.154472,23.8500,1.341700,24.0000,24.1700,9.694297,0,0.324900,15.492011,23.9700,2020-01-02,908138836.0000,2020-01-02
20009024,sh.600104,0.346422,24.3500,3,1,1.151128,24.1700,-0.289600,24.2200,24.1000,9.666221,0,0.173900,15.447144,24.0700,2020-01-03,483696935.0000,2020-01-03
52456395,sh.600104,0.335785,24.0500,3,1,1.115782,24.1000,-3.070500,24.0500,23.3600,9.369415,0,0.456000,14.972833,23.3100,2020-01-06,1235861323.0000,2020-01-06
18661078,sh.600104,0.338229,23.5300,3,1,1.123902,23.3600,0.727700,23.4300,23.5300,9.437600,0,0.162200,15.081796,23.3400,2020-01-07,437713475.0000,2020-01-07
30614378,sh.600104,0.343404,24.0000,3,1,1.141098,23.5300,1.530000,23.4900,23.8900,9.581992,0,0.266100,15.312542,23.3000,2020-01-08,723425993.0000,2020-01-08
54666733,sh.600104,0.358641,25.0900,3,1,1.191728,23.8900,4.437000,24.0000,24.9500,10.007145,0,0.475200,15.991960,23.9000,2020-01-09,1346215615.0000,2020-01-09
25641817,sh.600104,0.360078,25.1500,3,1,1.196505,24.9500,0.400800,24.9300,25.0500,10.047254,0,0.222900,16.056056,24.7800,2020-01-10,640551457.0000,2020-01-10
24056031,sh.600104,0.363672,25.3900,3,1,1.208446,25.0500,0.998000,25.2100,25.3000,10.147526,0,0.209100,16.216296,24.8300,2020-01-13,606341080.0000,2020-01-13
34787257,sh.600104,0.358928,25.3600,3,1,1.192683,25.3000,-1.304300,25.0500,24.9700,10.015167,0,0.302400,16.004779,24.6500,2020-01-14,868770351.0000,2020-01-14
19075745,sh.600104,0.353035,24.9300,3,1,1.173100,24.9700,-1.642000,24.7800,24.5600,9.850721,0,0.165800,15.741985,24.4400,2020-01-15,469505055.0000,2020-01-15
18671233,sh.600104,0.356484,25.1700,3,1,1.184564,24.5600,0.977200,24.8000,24.8000,9.946982,0,0.162300,15.895816,24.6100,2020-01-16,464838456.0000,2020-01-16
16842878,sh.600104,0.355622,25.1700,3,1,1.181698,24.8000,-0.241900,25.0300,24.7400,9.922917,0,0.146400,15.857358,24.6400,2020-01-17,418796517.0000,2020-01-17
28635719,sh.600104,0.347141,24.7400,3,1,1.153516,24.7400,-2.384800,24.6600,24.1500,9.686275,0,0.245100,15.479192,24.0400,2020-01-20,694920052.0000,2020-01-20
42029629,sh.600104,0.332048,24.0600,3,1,1.103364,24.1500,-4.347800,24.0600,23.1000,9.265133,0,0.359700,14.806183,23.0500,2020-01-21,983474682.0000,2020-01-21
22739918,sh.600104,0.333629,23.3400,3,1,1.108618,23.1000,0.476200,23.0200,23.2100,9.309252,0,0.194600,14.876689,22.9500,2020-01-22,527259384.0000,2020-01-22
24893614,sh.600104,0.325004,23.1000,3,1,1.079959,23.2100,-2.585100,23.1000,22.6100,9.068599,0,0.213100,14.492113,22.5000,2020-01-23,566075416.0000,2020-01-23
51347241,sh.600104,0.294675,21.4600,3,1,0.979175,22.6100,-9.332200,20.4000,20.5000,8.222304,0,0.439500,13.139686,20.3500,2020-02-03,1061826611.0000,2020-02-03
47281024,sh.600104,0.293237,21.0000,3,1,0.974399,20.5000,-0.487800,20.6800,20.4000,8.182195,0,0.404700,13.075590,20.3300,2020-02-04,972245457.0000,2020-02-04
40502814,sh.600104,0.300281,20.9600,3,1,0.997804,20.4000,2.402000,20.5100,20.8900,8.378728,0,0.346700,13.389661,20.4200,2020-02-05,839131322.0000,2020-02-05
29328782,sh.600104,0.302006,21.1700,3,1,1.003535,20.8900,0.574400,20.9500,21.0100,8.426859,0,0.251000,13.466576,20.6000,2020-02-06,612449565.0000,2020-02-06
27022328,sh.600104,0.305455,21.3000,3,1,1.014999,21.0100,1.142300,21.0200,21.2500,8.523120,0,0.231300,13.620407,20.7300,2020-02-07,565735375.0000,2020-02-07
26828873,sh.600104,0.307612,21.5800,3,1,1.022164,21.2500,0.705900,21.0000,21.4000,8.583283,0,0.229600,13.716551,20.9600,2020-02-10,572839502.0000,2020-02-10
22062525,sh.600104,0.306605,21.6700,3,1,1.018820,21.4000,-0.327100,21.6000,21.3300,8.555207,0,0.188800,13.671684,21.2800,2020-02-11,473508715.0000,2020-02-11
19535422,sh.600104,0.311205,21.6500,3,1,1.034105,21.3300,1.500200,21.3300,21.6500,8.683555,0,0.167200,13.876791,21.1800,2020-02-12,419442714.0000,2020-02-12
19297073,sh.600104,0.309911,21.9000,3,1,1.029806,21.6500,-0.415700,21.5600,21.5600,8.647457,0,0.165200,13.819104,21.4500,2020-02-13,417275768.0000,2020-02-13
16721894,sh.600104,0.308905,21.7800,3,1,1.026462,21.5600,-0.324700,21.5600,21.4900,8.619381,0,0.143100,13.774237,21.3100,2020-02-14,359807269.0000,2020-02-14
47188318,sh.600104,0.326873,23.0400,3,1,1.086168,21.4900,5.816700,21.5400,22.7400,9.120741,0,0.403900,14.575438,21.5200,2020-02-17,1062163456.0000,2020-02-17
24709417,sh.600104,0.324573,22.6900,3,1,1.078526,22.7400,-0.703600,22.6900,22.5800,9.056567,0,0.211500,14.472884,22.3900,2020-02-18,556644944.0000,2020-02-18
