volume,code,psTTM,high,adjustflag,tradestatus,pbMRQ,preclose,pctChg,open,close,peTTM,isST,turn,pcfNcfTTM,low,date,amount,time
8527207,sz.002938,4.094199,46.4000,3,1,5.719392,44.9000,2.271700,44.9000,45.9200,36.457170,0,3.689100,336.563504,44.9000,2020-01-02,391246453.2600,2020-01-02
6732812,sz.002938,4.159285,47.3300,3,1,5.810315,45.9200,1.589700,45.9200,46.6500,37.036737,0,2.912800,341.913925,45.7700,2020-01-03,313777965.0300,2020-01-03
8619721,sz.002938,4.063885,46.4500,3,1,5.677045,46.6500,-2.293700,45.8900,45.5800,36.187234,0,3.729200,334.071527,45.2500,2020-01-06,394073148.7500,2020-01-06
5796916,sz.002938,4.128080,46.4200,3,1,5.766722,45.5800,1.579600,46.0000,46.3000,36.758862,0,2.507900,339.348655,45.6000,2020-01-07,267308181.8300,2020-01-07
7551089,sz.002938,4.092416,46.5800,3,1,5.716901,46.3000,-0.863900,46.5000,45.9000,36.441291,0,3.266800,336.416917,45.2000,2020-01-08,347233559.5800,2020-01-08
11354230,sz.002938,4.299266,48.3000,3,1,6.005860,45.9000,5.054500,45.9900,48.2200,38.283204,0,4.912200,353.420996,45.9800,2020-01-09,535980470.5800,2020-01-09
10631548,sz.002938,4.457969,50.8500,3,1,6.227561,48.2200,3.691400,48.2100,50.0000,39.696396,0,4.599600,366.467230,48.2100,2020-01-10,531517320.0100,2020-01-10
8102293,sz.002938,4.481151,50.8600,3,1,6.259945,50.0000,0.520000,49.7800,50.2600,39.902817,0,3.505300,368.372859,48.8700,2020-01-13,404988129.9700,2020-01-13
9194067,sz.002938,4.428547,51.5600,3,1,6.186459,50.2600,-1.173900,51.2000,49.6700,39.434400,0,3.977700,364.048546,49.3000,2020-01-14,463824507.1000,2020-01-14
7296481,sz.002938,4.395558,50.0600,3,1,6.140376,49.6700,-0.744900,49.7000,49.3000,39.140646,0,3.156700,361.336688,48.4800,2020-01-15,357504818.7700,2020-01-15
5630817,sz.002938,4.414281,50.1000,3,1,6.166531,49.3000,0.426000,49.5000,49.5100,39.307371,0,2.436100,362.875851,48.5700,2020-01-16,277741598.9600,2020-01-16
4381298,sz.002938,4.350978,49.9100,3,1,6.078100,49.5100,-1.434100,49.5000,48.8000,38.743682,0,1.895500,357.672016,48.6000,2020-01-17,214371271.6600,2020-01-17
