code,time,score,target,create_time
sh.600000,2025-04-09,0.509765625,2025-04-16,2025-04-09 18:19:03.977427
sh.600009,2025-04-09,0.619140625,2025-04-16,2025-04-09 18:19:03.977427
sh.600010,2025-04-09,0.5390625,2025-04-16,2025-04-09 18:19:03.977427
sh.600011,2025-04-09,0.583984375,2025-04-16,2025-04-09 18:19:03.977427
sh.600015,2025-04-09,0.56201171875,2025-04-16,2025-04-09 18:19:03.977427
sh.600016,2025-04-09,0.564453125,2025-04-16,2025-04-09 18:19:03.977427
sh.600018,2025-04-09,0.60546875,2025-04-16,2025-04-09 18:19:03.977427
sh.600019,2025-04-09,0.556640625,2025-04-16,2025-04-09 18:19:03.977427
sh.600023,2025-04-09,0.5751953125,2025-04-16,2025-04-09 18:19:03.977427
sh.600025,2025-04-09,0.56201171875,2025-04-16,2025-04-09 18:19:03.977427
sh.600026,2025-04-09,0.56591796875,2025-04-16,2025-04-09 18:19:03.977427
sh.600027,2025-04-09,0.576171875,2025-04-16,2025-04-09 18:19:03.977427
sh.600028,2025-04-09,0.55126953125,2025-04-16,2025-04-09 18:19:03.977427
sh.600029,2025-04-09,0.57421875,2025-04-16,2025-04-09 18:19:03.977427
sh.600030,2025-04-09,0.53759765625,2025-04-16,2025-04-09 18:19:03.977427
sh.600031,2025-04-09,0.60888671875,2025-04-16,2025-04-09 18:19:03.977427
sh.600036,2025-04-09,0.5029296875,2025-04-16,2025-04-09 18:19:03.977427
sh.600039,2025-04-09,0.60009765625,2025-04-16,2025-04-09 18:19:03.977427
sh.600048,2025-04-09,0.6328125,2025-04-16,2025-04-09 18:19:03.977427
sh.600050,2025-04-09,0.5703125,2025-04-16,2025-04-09 18:19:03.977427
sh.600061,2025-04-09,0.60888671875,2025-04-16,2025-04-09 18:19:03.977427
sh.600066,2025-04-09,0.54248046875,2025-04-16,2025-04-09 18:19:03.977427
sh.600085,2025-04-09,0.62255859375,2025-04-16,2025-04-09 18:19:03.977427
sh.600089,2025-04-09,0.59619140625,2025-04-16,2025-04-09 18:19:03.977427
sh.600104,2025-04-09,0.62255859375,2025-04-16,2025-04-09 18:19:03.977427
sh.600111,2025-04-09,0.57763671875,2025-04-16,2025-04-09 18:19:03.977427
sh.600115,2025-04-09,0.580078125,2025-04-16,2025-04-09 18:19:03.977427
sh.600150,2025-04-09,0.59033203125,2025-04-16,2025-04-09 18:19:03.977427
sh.600160,2025-04-09,0.58349609375,2025-04-16,2025-04-09 18:19:03.977427
sh.600161,2025-04-09,0.53369140625,2025-04-16,2025-04-09 18:19:03.977427
sh.600176,2025-04-09,0.580078125,2025-04-16,2025-04-09 18:19:03.977427
sh.600183,2025-04-09,0.58642578125,2025-04-16,2025-04-09 18:19:03.977427
sh.600188,2025-04-09,0.55517578125,2025-04-16,2025-04-09 18:19:03.977427
sh.600196,2025-04-09,0.57177734375,2025-04-16,2025-04-09 18:19:03.977427
sh.600219,2025-04-09,0.57470703125,2025-04-16,2025-04-09 18:19:03.977427
sh.600233,2025-04-09,0.56103515625,2025-04-16,2025-04-09 18:19:03.977427
sh.600276,2025-04-09,0.5537109375,2025-04-16,2025-04-09 18:19:03.977427
sh.600309,2025-04-09,0.5537109375,2025-04-16,2025-04-09 18:19:03.977427
sh.600332,2025-04-09,0.583984375,2025-04-16,2025-04-09 18:19:03.977427
sh.600346,2025-04-09,0.58740234375,2025-04-16,2025-04-09 18:19:03.977427
sh.600362,2025-04-09,0.5869140625,2025-04-16,2025-04-09 18:19:03.977427
sh.600372,2025-04-09,0.6083984375,2025-04-16,2025-04-09 18:19:03.977427
sh.600377,2025-04-09,0.595703125,2025-04-16,2025-04-09 18:19:03.977427
sh.600406,2025-04-09,0.60693359375,2025-04-16,2025-04-09 18:19:03.977427
sh.600415,2025-04-09,0.673828125,2025-04-16,2025-04-09 18:19:03.977427
sh.600426,2025-04-09,0.56982421875,2025-04-16,2025-04-09 18:19:03.977427
sh.600436,2025-04-09,0.578125,2025-04-16,2025-04-09 18:19:03.977427
sh.600438,2025-04-09,0.60107421875,2025-04-16,2025-04-09 18:19:03.977427
sh.600460,2025-04-09,0.63623046875,2025-04-16,2025-04-09 18:19:03.977427
sh.600482,2025-04-09,0.6318359375,2025-04-16,2025-04-09 18:19:03.977427
sh.600489,2025-04-09,0.63232421875,2025-04-16,2025-04-09 18:19:03.977427
sh.600515,2025-04-09,0.62890625,2025-04-16,2025-04-09 18:19:03.977427
sh.600519,2025-04-09,0.541015625,2025-04-16,2025-04-09 18:19:03.977427
sh.600547,2025-04-09,0.6318359375,2025-04-16,2025-04-09 18:19:03.977427
sh.600570,2025-04-09,0.6259765625,2025-04-16,2025-04-09 18:19:03.977427
sh.600584,2025-04-09,0.60693359375,2025-04-16,2025-04-09 18:19:03.977427
sh.600585,2025-04-09,0.6015625,2025-04-16,2025-04-09 18:19:03.977427
sh.600588,2025-04-09,0.62890625,2025-04-16,2025-04-09 18:19:03.977427
sh.600600,2025-04-09,0.60546875,2025-04-16,2025-04-09 18:19:03.977427
sh.600660,2025-04-09,0.55078125,2025-04-16,2025-04-09 18:19:03.977427
sh.600674,2025-04-09,0.55712890625,2025-04-16,2025-04-09 18:19:03.977427
sh.600690,2025-04-09,0.60302734375,2025-04-16,2025-04-09 18:19:03.977427
sh.600741,2025-04-09,0.5205078125,2025-04-16,2025-04-09 18:19:03.977427
sh.600745,2025-04-09,0.60986328125,2025-04-16,2025-04-09 18:19:03.977427
sh.600760,2025-04-09,0.6123046875,2025-04-16,2025-04-09 18:19:03.977427
sh.600795,2025-04-09,0.55810546875,2025-04-16,2025-04-09 18:19:03.977427
sh.600803,2025-04-09,0.58740234375,2025-04-16,2025-04-09 18:19:03.977427
sh.600809,2025-04-09,0.6064453125,2025-04-16,2025-04-09 18:19:03.977427
sh.600845,2025-04-09,0.63818359375,2025-04-16,2025-04-09 18:19:03.977427
sh.600875,2025-04-09,0.5986328125,2025-04-16,2025-04-09 18:19:03.977427
sh.600886,2025-04-09,0.5830078125,2025-04-16,2025-04-09 18:19:03.977427
sh.600887,2025-04-09,0.56298828125,2025-04-16,2025-04-09 18:19:03.977427
sh.600893,2025-04-09,0.62060546875,2025-04-16,2025-04-09 18:19:03.977427
sh.600900,2025-04-09,0.5244140625,2025-04-16,2025-04-09 18:19:03.977427
sh.600905,2025-04-09,0.5693359375,2025-04-16,2025-04-09 18:19:03.977427
sh.600918,2025-04-09,0.56298828125,2025-04-16,2025-04-09 18:19:03.977427
sh.600919,2025-04-09,0.53955078125,2025-04-16,2025-04-09 18:19:03.977427
sh.600926,2025-04-09,0.5693359375,2025-04-16,2025-04-09 18:19:03.977427
sh.600938,2025-04-09,0.5625,2025-04-16,2025-04-09 18:19:03.977427
sh.600941,2025-04-09,0.544921875,2025-04-16,2025-04-09 18:19:03.977427
sh.600958,2025-04-09,0.56640625,2025-04-16,2025-04-09 18:19:03.977427
sh.600989,2025-04-09,0.546875,2025-04-16,2025-04-09 18:19:03.977427
sh.600999,2025-04-09,0.546875,2025-04-16,2025-04-09 18:19:03.977427
sh.601006,2025-04-09,0.5576171875,2025-04-16,2025-04-09 18:19:03.977427
sh.601009,2025-04-09,0.552734375,2025-04-16,2025-04-09 18:19:03.977427
sh.601012,2025-04-09,0.6025390625,2025-04-16,2025-04-09 18:19:03.977427
sh.601021,2025-04-09,0.63037109375,2025-04-16,2025-04-09 18:19:03.977427
sh.601058,2025-04-09,0.6474609375,2025-04-16,2025-04-09 18:19:03.977427
sh.601059,2025-04-09,0.5732421875,2025-04-16,2025-04-09 18:19:03.977427
sh.601066,2025-04-09,0.56787109375,2025-04-16,2025-04-09 18:19:03.977427
sh.601088,2025-04-09,0.5419921875,2025-04-16,2025-04-09 18:19:03.977427
sh.601100,2025-04-09,0.57763671875,2025-04-16,2025-04-09 18:19:03.977427
sh.601111,2025-04-09,0.5849609375,2025-04-16,2025-04-09 18:19:03.977427
sh.601117,2025-04-09,0.5546875,2025-04-16,2025-04-09 18:19:03.977427
sh.601127,2025-04-09,0.56591796875,2025-04-16,2025-04-09 18:19:03.977427
sh.601136,2025-04-09,0.5693359375,2025-04-16,2025-04-09 18:19:03.977427
sh.601138,2025-04-09,0.60302734375,2025-04-16,2025-04-09 18:19:03.977427
sh.601166,2025-04-09,0.49267578125,2025-04-16,2025-04-09 18:19:03.977427
sh.601169,2025-04-09,0.54931640625,2025-04-16,2025-04-09 18:19:03.977427
sh.601186,2025-04-09,0.55126953125,2025-04-16,2025-04-09 18:19:03.977427
sh.601211,2025-04-09,0.5712890625,2025-04-16,2025-04-09 18:19:03.977427
sh.601225,2025-04-09,0.5615234375,2025-04-16,2025-04-09 18:19:03.977427
sh.601229,2025-04-09,0.5546875,2025-04-16,2025-04-09 18:19:03.977427
sh.601236,2025-04-09,0.55712890625,2025-04-16,2025-04-09 18:19:03.977427
sh.601238,2025-04-09,0.57177734375,2025-04-16,2025-04-09 18:19:03.977427
sh.601288,2025-04-09,0.53369140625,2025-04-16,2025-04-09 18:19:03.977427
sh.601318,2025-04-09,0.5009765625,2025-04-16,2025-04-09 18:19:03.977427
sh.601319,2025-04-09,0.54833984375,2025-04-16,2025-04-09 18:19:03.977427
sh.601328,2025-04-09,0.55419921875,2025-04-16,2025-04-09 18:19:03.977427
sh.601336,2025-04-09,0.5556640625,2025-04-16,2025-04-09 18:19:03.977427
sh.601360,2025-04-09,0.583984375,2025-04-16,2025-04-09 18:19:03.977427
sh.601377,2025-04-09,0.5732421875,2025-04-16,2025-04-09 18:19:03.977427
sh.601390,2025-04-09,0.5546875,2025-04-16,2025-04-09 18:19:03.977427
sh.601398,2025-04-09,0.54638671875,2025-04-16,2025-04-09 18:19:03.977427
sh.601600,2025-04-09,0.5751953125,2025-04-16,2025-04-09 18:19:03.977427
sh.601601,2025-04-09,0.525390625,2025-04-16,2025-04-09 18:19:03.977427
sh.601607,2025-04-09,0.58349609375,2025-04-16,2025-04-09 18:19:03.977427
sh.601618,2025-04-09,0.5673828125,2025-04-16,2025-04-09 18:19:03.977427
sh.601628,2025-04-09,0.51953125,2025-04-16,2025-04-09 18:19:03.977427
sh.601633,2025-04-09,0.583984375,2025-04-16,2025-04-09 18:19:03.977427
sh.601658,2025-04-09,0.5546875,2025-04-16,2025-04-09 18:19:03.977427
sh.601668,2025-04-09,0.5673828125,2025-04-16,2025-04-09 18:19:03.977427
sh.601669,2025-04-09,0.55908203125,2025-04-16,2025-04-09 18:19:03.977427
sh.601688,2025-04-09,0.56396484375,2025-04-16,2025-04-09 18:19:03.977427
sh.601689,2025-04-09,0.5791015625,2025-04-16,2025-04-09 18:19:03.977427
sh.601698,2025-04-09,0.59716796875,2025-04-16,2025-04-09 18:19:03.977427
sh.601699,2025-04-09,0.55712890625,2025-04-16,2025-04-09 18:19:03.977427
sh.601728,2025-04-09,0.56689453125,2025-04-16,2025-04-09 18:19:03.977427
sh.601766,2025-04-09,0.58984375,2025-04-16,2025-04-09 18:19:03.977427
sh.601788,2025-04-09,0.57177734375,2025-04-16,2025-04-09 18:19:03.977427
sh.601799,2025-04-09,0.5400390625,2025-04-16,2025-04-09 18:19:03.977427
sh.601800,2025-04-09,0.5830078125,2025-04-16,2025-04-09 18:19:03.977427
sh.601808,2025-04-09,0.56591796875,2025-04-16,2025-04-09 18:19:03.977427
sh.601816,2025-04-09,0.60205078125,2025-04-16,2025-04-09 18:19:03.977427
sh.601818,2025-04-09,0.556640625,2025-04-16,2025-04-09 18:19:03.977427
sh.601838,2025-04-09,0.53466796875,2025-04-16,2025-04-09 18:19:03.977427
sh.601857,2025-04-09,0.556640625,2025-04-16,2025-04-09 18:19:03.977427
sh.601865,2025-04-09,0.57568359375,2025-04-16,2025-04-09 18:19:03.977427
sh.601868,2025-04-09,0.56884765625,2025-04-16,2025-04-09 18:19:03.977427
sh.601872,2025-04-09,0.546875,2025-04-16,2025-04-09 18:19:03.977427
sh.601877,2025-04-09,0.5634765625,2025-04-16,2025-04-09 18:19:03.977427
sh.601878,2025-04-09,0.5634765625,2025-04-16,2025-04-09 18:19:03.977427
sh.601881,2025-04-09,0.5732421875,2025-04-16,2025-04-09 18:19:03.977427
