score,time,target,code,predcit_time
-0.00858,2025-11-24,2025-12-01,sh.600000,2025-11-25 20:07:03.357569
-0.007145,2025-11-24,2025-12-01,sh.600000,2025-11-25 20:07:03.357569
-0.01018,2025-11-24,2025-12-01,sh.600000,2025-11-25 20:07:03.357569
0.05167,2025-11-25,2025-12-02,sh.600000,2025-11-25 20:07:03.357569
0.05093,2025-11-25,2025-12-02,sh.600000,2025-11-25 20:07:03.357569
-0.08887,2025-11-24,2025-12-01,sh.600009,2025-11-25 20:07:03.357569
-0.06854,2025-11-24,2025-12-01,sh.600009,2025-11-25 20:07:03.357569
-0.071,2025-11-24,2025-12-01,sh.600009,2025-11-25 20:07:03.357569
0.0759,2025-11-25,2025-12-02,sh.600009,2025-11-25 20:07:03.357569
0.0727,2025-11-25,2025-12-02,sh.600009,2025-11-25 20:07:03.357569
0.01573,2025-11-24,2025-12-01,sh.600010,2025-11-25 20:07:03.357569
0.01573,2025-11-24,2025-12-01,sh.600010,2025-11-25 20:07:03.357569
0.01573,2025-11-24,2025-12-01,sh.600010,2025-11-25 20:07:03.357569
-0.03415,2025-11-25,2025-12-02,sh.600010,2025-11-25 20:07:03.357569
-0.03433,2025-11-25,2025-12-02,sh.600010,2025-11-25 20:07:03.357569
0.00133,2025-11-24,2025-12-01,sh.600011,2025-11-25 20:07:03.357569
-0.00296,2025-11-24,2025-12-01,sh.600011,2025-11-25 20:07:03.357569
0.03394,2025-11-25,2025-12-02,sh.600011,2025-11-25 20:07:03.357569
0.03394,2025-11-25,2025-12-02,sh.600011,2025-11-25 20:07:03.357569
-0.005302,2025-11-24,2025-12-01,sh.600015,2025-11-25 20:07:03.357569
-0.004337,2025-11-24,2025-12-01,sh.600015,2025-11-25 20:07:03.357569
0.1071,2025-11-25,2025-12-02,sh.600015,2025-11-25 20:07:03.357569
0.1071,2025-11-25,2025-12-02,sh.600015,2025-11-25 20:07:03.357569
-0.1199,2025-11-24,2025-12-01,sh.600016,2025-11-25 20:07:03.357569
-0.1199,2025-11-24,2025-12-01,sh.600016,2025-11-25 20:07:03.357569
0.1759,2025-11-25,2025-12-02,sh.600016,2025-11-25 20:07:03.357569
0.177,2025-11-25,2025-12-02,sh.600016,2025-11-25 20:07:03.357569
0.0648,2025-11-24,2025-12-01,sh.600018,2025-11-25 20:07:03.357569
0.0648,2025-11-24,2025-12-01,sh.600018,2025-11-25 20:07:03.357569
0.0648,2025-11-24,2025-12-01,sh.600018,2025-11-25 20:07:03.357569
0.1241,2025-11-25,2025-12-02,sh.600018,2025-11-25 20:07:03.357569
0.1241,2025-11-25,2025-12-02,sh.600018,2025-11-25 20:07:03.357569
-0.01518,2025-11-24,2025-12-01,sh.600019,2025-11-25 20:07:03.357569
-0.01518,2025-11-24,2025-12-01,sh.600019,2025-11-25 20:07:03.357569
-0.01518,2025-11-24,2025-12-01,sh.600019,2025-11-25 20:07:03.357569
-0.006134,2025-11-25,2025-12-02,sh.600019,2025-11-25 20:07:03.357569
-0.006134,2025-11-25,2025-12-02,sh.600019,2025-11-25 20:07:03.357569
0.01512,2025-11-24,2025-12-01,sh.600023,2025-11-25 20:07:03.357569
0.01169,2025-11-24,2025-12-01,sh.600023,2025-11-25 20:07:03.357569
0.01169,2025-11-25,2025-12-02,sh.600023,2025-11-25 20:07:03.357569
0.01169,2025-11-25,2025-12-02,sh.600023,2025-11-25 20:07:03.357569
0.02745,2025-11-24,2025-12-01,sh.600025,2025-11-25 20:07:03.357569
0.02745,2025-11-24,2025-12-01,sh.600025,2025-11-25 20:07:03.357569
0.06076,2025-11-25,2025-12-02,sh.600025,2025-11-25 20:07:03.357569
0.06,2025-11-25,2025-12-02,sh.600025,2025-11-25 20:07:03.357569
-0.02449,2025-11-24,2025-12-01,sh.600026,2025-11-25 20:07:03.357569
-0.02449,2025-11-24,2025-12-01,sh.600026,2025-11-25 20:07:03.357569
-0.02449,2025-11-24,2025-12-01,sh.600026,2025-11-25 20:07:03.357569
0.0911,2025-11-25,2025-12-02,sh.600026,2025-11-25 20:07:03.357569
0.0911,2025-11-25,2025-12-02,sh.600026,2025-11-25 20:07:03.357569
0.04297,2025-11-24,2025-12-01,sh.600027,2025-11-25 20:07:03.357569
0.04297,2025-11-24,2025-12-01,sh.600027,2025-11-25 20:07:03.357569
0.04297,2025-11-24,2025-12-01,sh.600027,2025-11-25 20:07:03.357569
0.05118,2025-11-25,2025-12-02,sh.600027,2025-11-25 20:07:03.357569
0.05118,2025-11-25,2025-12-02,sh.600027,2025-11-25 20:07:03.357569
-0.0706,2025-11-24,2025-12-01,sh.600028,2025-11-25 20:07:03.357569
-0.0706,2025-11-24,2025-12-01,sh.600028,2025-11-25 20:07:03.357569
0.0597,2025-11-25,2025-12-02,sh.600028,2025-11-25 20:07:03.357569
0.03925,2025-11-25,2025-12-02,sh.600028,2025-11-25 20:07:03.357569
0.01802,2025-11-24,2025-12-01,sh.600029,2025-11-25 20:07:03.357569
-0.00979,2025-11-24,2025-12-01,sh.600029,2025-11-25 20:07:03.357569
-0.00979,2025-11-24,2025-12-01,sh.600029,2025-11-25 20:07:03.357569
-0.00932,2025-11-25,2025-12-02,sh.600029,2025-11-25 20:07:03.357569
-0.00932,2025-11-25,2025-12-02,sh.600029,2025-11-25 20:07:03.357569
0.0889,2025-11-24,2025-12-01,sh.600030,2025-11-25 20:07:03.357569
0.0987,2025-11-24,2025-12-01,sh.600030,2025-11-25 20:07:03.357569
0.0826,2025-11-24,2025-12-01,sh.600030,2025-11-25 20:07:03.357569
0.09753,2025-11-25,2025-12-02,sh.600030,2025-11-25 20:07:03.357569
0.09094,2025-11-25,2025-12-02,sh.600030,2025-11-25 20:07:03.357569
-0.1184,2025-11-24,2025-12-01,sh.600031,2025-11-25 20:07:03.357569
-0.1182,2025-11-24,2025-12-01,sh.600031,2025-11-25 20:07:03.357569
-0.11676,2025-11-24,2025-12-01,sh.600031,2025-11-25 20:07:03.357569
-0.1053,2025-11-25,2025-12-02,sh.600031,2025-11-25 20:07:03.357569
-0.1051,2025-11-25,2025-12-02,sh.600031,2025-11-25 20:07:03.357569
-0.0742,2025-11-24,2025-12-01,sh.600036,2025-11-25 20:07:03.357569
-0.0805,2025-11-24,2025-12-01,sh.600036,2025-11-25 20:07:03.357569
-0.07605,2025-11-24,2025-12-01,sh.600036,2025-11-25 20:07:03.357569
0.1302,2025-11-25,2025-12-02,sh.600036,2025-11-25 20:07:03.357569
0.1328,2025-11-25,2025-12-02,sh.600036,2025-11-25 20:07:03.357569
0.0046,2025-11-24,2025-12-01,sh.600039,2025-11-25 20:07:03.357569
0.0046,2025-11-24,2025-12-01,sh.600039,2025-11-25 20:07:03.357569
0.004635,2025-11-24,2025-12-01,sh.600039,2025-11-25 20:07:03.357569
-0.007694,2025-11-25,2025-12-02,sh.600039,2025-11-25 20:07:03.357569
0.002403,2025-11-25,2025-12-02,sh.600039,2025-11-25 20:07:03.357569
-0.1627,2025-11-24,2025-12-01,sh.600048,2025-11-25 20:07:03.357569
-0.1573,2025-11-24,2025-12-01,sh.600048,2025-11-25 20:07:03.357569
-0.1613,2025-11-24,2025-12-01,sh.600048,2025-11-25 20:07:03.357569
-0.1857,2025-11-25,2025-12-02,sh.600048,2025-11-25 20:07:03.357569
-0.1962,2025-11-25,2025-12-02,sh.600048,2025-11-25 20:07:03.357569
-0.003021,2025-11-24,2025-12-01,sh.600050,2025-11-25 20:07:03.357569
-0.003021,2025-11-24,2025-12-01,sh.600050,2025-11-25 20:07:03.357569
-0.003021,2025-11-24,2025-12-01,sh.600050,2025-11-25 20:07:03.357569
-0.000898,2025-11-25,2025-12-02,sh.600050,2025-11-25 20:07:03.357569
-0.000898,2025-11-25,2025-12-02,sh.600050,2025-11-25 20:07:03.357569
0.1137,2025-11-24,2025-12-01,sh.600061,2025-11-25 20:07:03.357569
0.1195,2025-11-24,2025-12-01,sh.600061,2025-11-25 20:07:03.357569
0.11945,2025-11-24,2025-12-01,sh.600061,2025-11-25 20:07:03.357569
0.11816,2025-11-25,2025-12-02,sh.600061,2025-11-25 20:07:03.357569
0.11816,2025-11-25,2025-12-02,sh.600061,2025-11-25 20:07:03.357569
-0.268,2025-11-24,2025-12-01,sh.600066,2025-11-25 20:07:03.357569
-0.2673,2025-11-24,2025-12-01,sh.600066,2025-11-25 20:07:03.357569
-0.2666,2025-11-24,2025-12-01,sh.600066,2025-11-25 20:07:03.357569
-0.2969,2025-11-25,2025-12-02,sh.600066,2025-11-25 20:07:03.357569
-0.2957,2025-11-25,2025-12-02,sh.600066,2025-11-25 20:07:03.357569
-0.1388,2025-11-24,2025-12-01,sh.600085,2025-11-25 20:07:03.357569
-0.1368,2025-11-24,2025-12-01,sh.600085,2025-11-25 20:07:03.357569
-0.08185,2025-11-25,2025-12-02,sh.600085,2025-11-25 20:07:03.357569
-0.0858,2025-11-25,2025-12-02,sh.600085,2025-11-25 20:07:03.357569
-0.2446,2025-11-24,2025-12-01,sh.600089,2025-11-25 20:07:03.357569
-0.2438,2025-11-24,2025-12-01,sh.600089,2025-11-25 20:07:03.357569
-0.2452,2025-11-24,2025-12-01,sh.600089,2025-11-25 20:07:03.357569
-0.2308,2025-11-25,2025-12-02,sh.600089,2025-11-25 20:07:03.357569
-0.231,2025-11-25,2025-12-02,sh.600089,2025-11-25 20:07:03.357569
0.061,2025-11-24,2025-12-01,sh.600104,2025-11-25 20:07:03.357569
0.061,2025-11-24,2025-12-01,sh.600104,2025-11-25 20:07:03.357569
0.061,2025-11-24,2025-12-01,sh.600104,2025-11-25 20:07:03.357569
0.1609,2025-11-25,2025-12-02,sh.600104,2025-11-25 20:07:03.357569
0.1608,2025-11-25,2025-12-02,sh.600104,2025-11-25 20:07:03.357569
-0.44,2025-11-24,2025-12-01,sh.600111,2025-11-25 20:07:03.357569
-0.4421,2025-11-24,2025-12-01,sh.600111,2025-11-25 20:07:03.357569
-0.419,2025-11-25,2025-12-02,sh.600111,2025-11-25 20:07:03.357569
-0.417,2025-11-25,2025-12-02,sh.600111,2025-11-25 20:07:03.357569
-0.048,2025-11-24,2025-12-01,sh.600115,2025-11-25 20:07:03.357569
-0.048,2025-11-24,2025-12-01,sh.600115,2025-11-25 20:07:03.357569
-0.048,2025-11-24,2025-12-01,sh.600115,2025-11-25 20:07:03.357569
-0.04092,2025-11-25,2025-12-02,sh.600115,2025-11-25 20:07:03.357569
-0.04092,2025-11-25,2025-12-02,sh.600115,2025-11-25 20:07:03.357569
0.2023,2025-11-24,2025-12-01,sh.600150,2025-11-25 20:07:03.357569
0.1516,2025-11-24,2025-12-01,sh.600150,2025-11-25 20:07:03.357569
0.1532,2025-11-24,2025-12-01,sh.600150,2025-11-25 20:07:03.357569
-0.0423,2025-11-25,2025-12-02,sh.600150,2025-11-25 20:07:03.357569
-0.0423,2025-11-25,2025-12-02,sh.600150,2025-11-25 20:07:03.357569
-0.2803,2025-11-24,2025-12-01,sh.600160,2025-11-25 20:07:03.357569
-0.2747,2025-11-24,2025-12-01,sh.600160,2025-11-25 20:07:03.357569
-0.2715,2025-11-24,2025-12-01,sh.600160,2025-11-25 20:07:03.357569
-0.11554,2025-11-25,2025-12-02,sh.600160,2025-11-25 20:07:03.357569
-0.1251,2025-11-25,2025-12-02,sh.600160,2025-11-25 20:07:03.357569
-0.0449,2025-11-24,2025-12-01,sh.600161,2025-11-25 20:07:03.357569
-0.0449,2025-11-24,2025-12-01,sh.600161,2025-11-25 20:07:03.357569
-0.05197,2025-11-24,2025-12-01,sh.600161,2025-11-25 20:07:03.357569
-0.01079,2025-11-25,2025-12-02,sh.600161,2025-11-25 20:07:03.357569
-0.01079,2025-11-25,2025-12-02,sh.600161,2025-11-25 20:07:03.357569
-0.01962,2025-11-24,2025-12-01,sh.600176,2025-11-25 20:07:03.357569
-0.01964,2025-11-24,2025-12-01,sh.600176,2025-11-25 20:07:03.357569
-0.0213,2025-11-24,2025-12-01,sh.600176,2025-11-25 20:07:03.357569
-0.01854,2025-11-25,2025-12-02,sh.600176,2025-11-25 20:07:03.357569
-0.01942,2025-11-25,2025-12-02,sh.600176,2025-11-25 20:07:03.357569
-0.722,2025-11-24,2025-12-01,sh.600183,2025-11-25 20:07:03.357569
-0.721,2025-11-24,2025-12-01,sh.600183,2025-11-25 20:07:03.357569
-0.576,2025-11-25,2025-12-02,sh.600183,2025-11-25 20:07:03.357569
-0.572,2025-11-25,2025-12-02,sh.600183,2025-11-25 20:07:03.357569
-0.06854,2025-11-24,2025-12-01,sh.600188,2025-11-25 20:07:03.357569
-0.0701,2025-11-24,2025-12-01,sh.600188,2025-11-25 20:07:03.357569
-0.0701,2025-11-24,2025-12-01,sh.600188,2025-11-25 20:07:03.357569
0.0744,2025-11-25,2025-12-02,sh.600188,2025-11-25 20:07:03.357569
0.0806,2025-11-25,2025-12-02,sh.600188,2025-11-25 20:07:03.357569
