score,y,profit,time,target,code,predcit_time
-3.8895404,0.04685104,0.04685104,2025-06-20,2025-06-27,sh.600000,2025-06-27 20:13:38.773216
-4.15844,0.010197639,0.010197639,2025-06-20,2025-06-27,sh.600009,2025-06-27 20:13:38.773216
-3.9194477,0.022988439,0.022988439,2025-06-20,2025-06-27,sh.600010,2025-06-27 20:13:38.773216
-4.020226,-0.014905095,-0.014905095,2025-06-20,2025-06-27,sh.600011,2025-06-27 20:13:38.773216
-3.9523494,0.040061712,0.040061712,2025-06-20,2025-06-27,sh.600015,2025-06-27 20:13:38.773216
-3.8743622,0.018789053,0.018789053,2025-06-20,2025-06-27,sh.600016,2025-06-27 20:13:38.773216
-3.9071822,-0.0034245849,-0.0034245849,2025-06-20,2025-06-27,sh.600018,2025-06-27 20:13:38.773216
-4.066897,-0.0030394793,-0.0030394793,2025-06-20,2025-06-27,sh.600019,2025-06-27 20:13:38.773216
-3.9186761,0.0056711435,0.0056711435,2025-06-20,2025-06-27,sh.600023,2025-06-27 20:13:38.773216
-3.9687784,0.0020325184,0.0020325184,2025-06-20,2025-06-27,sh.600025,2025-06-27 20:13:38.773216
-4.044011,-0.065217435,-0.065217435,2025-06-20,2025-06-27,sh.600026,2025-06-27 20:13:38.773216
-3.7926202,-0.01943463,-0.01943463,2025-06-20,2025-06-27,sh.600027,2025-06-27 20:13:38.773216
-3.9606507,-0.0069565773,-0.0069565773,2025-06-20,2025-06-27,sh.600028,2025-06-27 20:13:38.773216
-3.9798539,0.024305582,0.024305582,2025-06-20,2025-06-27,sh.600029,2025-06-27 20:13:38.773216
-3.8940933,0.068392634,0.068392634,2025-06-20,2025-06-27,sh.600030,2025-06-27 20:13:38.773216
-3.868586,0.019439697,0.019439697,2025-06-20,2025-06-27,sh.600031,2025-06-27 20:13:38.773216
-3.9690921,0.04044366,0.04044366,2025-06-20,2025-06-27,sh.600036,2025-06-27 20:13:38.773216
-4.1157413,0.02862978,0.02862978,2025-06-20,2025-06-27,sh.600039,2025-06-27 20:13:38.773216
-4.012054,0.019011378,0.019011378,2025-06-20,2025-06-27,sh.600048,2025-06-27 20:13:38.773216
-3.971854,0.011428595,0.011428595,2025-06-20,2025-06-27,sh.600050,2025-06-27 20:13:38.773216
-3.7612288,0.064606786,0.064606786,2025-06-20,2025-06-27,sh.600061,2025-06-27 20:13:38.773216
-3.9850214,0.009740233,0.009740233,2025-06-20,2025-06-27,sh.600066,2025-06-27 20:13:38.773216
-4.2339277,0.017504811,0.017504811,2025-06-20,2025-06-27,sh.600085,2025-06-27 20:13:38.773216
-3.9482543,0.023560166,0.023560166,2025-06-20,2025-06-27,sh.600089,2025-06-27 20:13:38.773216
-3.8761055,0.032839656,0.032839656,2025-06-20,2025-06-27,sh.600104,2025-06-27 20:13:38.773216
-3.510728,0.015018821,0.015018821,2025-06-20,2025-06-27,sh.600111,2025-06-27 20:13:38.773216
-3.974057,0.032994866,0.032994866,2025-06-20,2025-06-27,sh.600115,2025-06-27 20:13:38.773216
-3.7605932,0.03334403,0.03334403,2025-06-20,2025-06-27,sh.600150,2025-06-27 20:13:38.773216
-3.9032977,-0.014695287,-0.014695287,2025-06-20,2025-06-27,sh.600160,2025-06-27 20:13:38.773216
-4.0662327,0.007837057,0.007837057,2025-06-20,2025-06-27,sh.600161,2025-06-27 20:13:38.773216
-4.0219426,0.011680126,0.011680126,2025-06-20,2025-06-27,sh.600176,2025-06-27 20:13:38.773216
-4.0307446,0.020069122,0.020069122,2025-06-20,2025-06-27,sh.600183,2025-06-27 20:13:38.773216
-4.2150245,-0.00082039833,-0.00082039833,2025-06-20,2025-06-27,sh.600188,2025-06-27 20:13:38.773216
-4.366798,0.011466026,0.011466026,2025-06-20,2025-06-27,sh.600196,2025-06-27 20:13:38.773216
-3.9512975,0.010610104,0.010610104,2025-06-20,2025-06-27,sh.600219,2025-06-27 20:13:38.773216
-4.07314,0.0038759708,0.0038759708,2025-06-20,2025-06-27,sh.600233,2025-06-27 20:13:38.773216
-4.1445475,0.0028979778,0.0028979778,2025-06-20,2025-06-27,sh.600276,2025-06-27 20:13:38.773216
-3.83044,-0.0003759861,-0.0003759861,2025-06-20,2025-06-27,sh.600309,2025-06-27 20:13:38.773216
-4.0888515,0.017387986,0.017387986,2025-06-20,2025-06-27,sh.600332,2025-06-27 20:13:38.773216
-3.9458106,0.010638356,0.010638356,2025-06-20,2025-06-27,sh.600346,2025-06-27 20:13:38.773216
-4.089635,0.048170447,0.048170447,2025-06-20,2025-06-27,sh.600362,2025-06-27 20:13:38.773216
-4.0065455,0.03825617,0.03825617,2025-06-20,2025-06-27,sh.600372,2025-06-27 20:13:38.773216
-3.9971235,-0.02687496,-0.02687496,2025-06-20,2025-06-27,sh.600377,2025-06-27 20:13:38.773216
-3.8911202,-0.019719481,-0.019719481,2025-06-20,2025-06-27,sh.600406,2025-06-27 20:13:38.773216
-3.9542434,0.14308345,0.14308345,2025-06-20,2025-06-27,sh.600415,2025-06-27 20:13:38.773216
-3.9600132,-0.0059522986,-0.0059522986,2025-06-20,2025-06-27,sh.600426,2025-06-27 20:13:38.773216
-3.8140848,0.004000306,0.004000306,2025-06-20,2025-06-27,sh.600436,2025-06-27 20:13:38.773216
-4.2744746,0.034799695,0.034799695,2025-06-20,2025-06-27,sh.600438,2025-06-27 20:13:38.773216
-4.1833873,0.048305154,0.048305154,2025-06-20,2025-06-27,sh.600460,2025-06-27 20:13:38.773216
-3.9953358,0.007989407,0.007989407,2025-06-20,2025-06-27,sh.600482,2025-06-27 20:13:38.773216
-3.9526699,0.011879802,0.011879802,2025-06-20,2025-06-27,sh.600489,2025-06-27 20:13:38.773216
-3.995052,0.048338413,0.048338413,2025-06-20,2025-06-27,sh.600515,2025-06-27 20:13:38.773216
-4.2403293,0.013425231,0.013425231,2025-06-20,2025-06-27,sh.600519,2025-06-27 20:13:38.773216
-3.9356706,0.012500048,0.012500048,2025-06-20,2025-06-27,sh.600547,2025-06-27 20:13:38.773216
-3.9923522,0.19136024,0.19136024,2025-06-20,2025-06-27,sh.600570,2025-06-27 20:13:38.773216
-3.861029,0.057070374,0.057070374,2025-06-20,2025-06-27,sh.600584,2025-06-27 20:13:38.773216
-3.8775313,-0.0027662516,-0.0027662516,2025-06-20,2025-06-27,sh.600585,2025-06-27 20:13:38.773216
-3.3137143,0.059677362,0.059677362,2025-06-20,2025-06-27,sh.600588,2025-06-27 20:13:38.773216
-3.7996805,-0.019969046,-0.019969046,2025-06-20,2025-06-27,sh.600600,2025-06-27 20:13:38.773216
-3.9666712,-0.008673072,-0.008673072,2025-06-20,2025-06-27,sh.600660,2025-06-27 20:13:38.773216
-3.8599632,0.0049937963,0.0049937963,2025-06-20,2025-06-27,sh.600674,2025-06-27 20:13:38.773216
-3.7275898,0.0060851574,0.0060851574,2025-06-20,2025-06-27,sh.600690,2025-06-27 20:13:38.773216
-3.6443493,0.018058658,0.018058658,2025-06-20,2025-06-27,sh.600741,2025-06-27 20:13:38.773216
-3.9977887,0.026380181,0.026380181,2025-06-20,2025-06-27,sh.600760,2025-06-27 20:13:38.773216
-3.5886636,0.03813553,0.03813553,2025-06-20,2025-06-27,sh.600795,2025-06-27 20:13:38.773216
-3.872376,0.0043103695,0.0043103695,2025-06-20,2025-06-27,sh.600803,2025-06-27 20:13:38.773216
-3.9956825,-0.02611208,-0.02611208,2025-06-20,2025-06-27,sh.600809,2025-06-27 20:13:38.773216
-3.8389785,0.027074218,0.027074218,2025-06-20,2025-06-27,sh.600845,2025-06-27 20:13:38.773216
-3.7801406,0.01722014,0.01722014,2025-06-20,2025-06-27,sh.600875,2025-06-27 20:13:38.773216
-3.6724546,0.001350522,0.001350522,2025-06-20,2025-06-27,sh.600886,2025-06-27 20:13:38.773216
